Directory,Image Count
"senna_obtusifolia",561
"senna_occidentalis",445
"senna_tora",203
"sesbania_cannabina",478
"Sida_acuta",179
"Sida_cordifolia",233
"sida_rhombifolia",793
"Solanum_americanum",765
"solanum_aviculare",866
"Solanum_chenopodioides",903
"solanum_chrysotrichum",713
"solanum_cinereum",393
"Solanum_elaeagnifolium",1065
"Solanum_esuriale",466
"solanum_laciniatum",701
"solanum_linnaeanum",695
"solanum_marginatum",561
"solanum_mauritianum",753
"Solanum_nigrum",549
"Solanum_prinophyllum",954
"solanum_pseudocapsicum",1155
"Solanum_rostratum",1026
"Solanum_sisymbriifolium",897
"solanum_sturtianum",225
"solanum_torvum",750
"Solanum_triflorum",1139
"solanum_viarum",976
"Soliva_sessilis",733
"Sonchus_arvensis",766
"Sonchus_asper",832
"Sonchus_oleraceus",1045
"Sorbus_aucuparia",508
"Sparaxis_bulbifera",127
"Sparaxis_tricolor",161
"Spartium_junceum",156
"Spathodea_campanulata",632
"Spermacoce_brachystema",245
"Spermacoce_remota",823
"Sphagneticola_trilobata",900
"Stachys_arvensis",760
"Stachytarpheta_cayennensis",880
"Stachytarpheta_jamaicensis",879
"Stapelia_gigantea",581
"Stellaria_media",534
"Stratiotes_aloides",279
"Striga_asiatica",83
"Striga_bilabiata",676
"Striga_elegans",468
"Striga_gesnerioides",636
"symphoricarpos_orbiculatus",477
"Symphyotrichum_subulatum",532
"Syngonium_angustatum",906
"System Volume Information",0
"Tagetes_minuta",805
"Talinum_paniculatum",668
"Tamarix_parviflora",261
"tamarix_ramosissima",511
"Tanacetum_parthenium",665
"Taraxacum_officinale",676
"Tecoma_stans",708
"Tetragonia_implexicoma",934
"Tetragonia_tetragonoides",867
"Tithonia_diversifolia",235
"Toxicodendron_succedaneum",749
"trachyandra_divaricata",896
"tradescantia_fluminensis",826
"tragopogon_dubius",561
"tragopogon_porrifolius",601
"Trapa_natans",363
"trema_tomentosa",648
"trianthema_portulacastrum",644
"tribulus_cistoides",662
"Tribulus_terrestris",800
"tridax_procumbens",416
"trifolium_arvense",538
"trifolium_campestre",445
"trifolium_repens",458
"trifolium_vesiculosum",560
"Triglochin_scilloides",251
"Triumfetta_rhomboidea",173
"Tropaeolum_majus",840
"typha_domingensis",534
"typha_latifolia",448
"typha_orientalis",515
"ulex_europaeus",781
"urena_lobata",531
"Urtica_urens",877
"Vachellia_erioloba",494
"Verbascum_thapsus",775
"Verbascum_virgatum",799
"Verbena_africana",106
"Verbena_bonariensis",675
"Verbena_rigida",718
"verbesina_encelioides",666
"veronica_arvensis",482
"veronica_persica",560
"Vicia_sativa",83
"vicia_villosa",513
"vinca_major",899
"viola_odorata",576
"wachendorfia_thyrsiflora",692
"waltheria_indica",840
"watsonia_meriana",881
"xanthium_occidentale",556
"xanthium_spinosum",899
"xanthium_strumarium",884
"xerochrysum_viscosum",892
"youngia_japonica",556
"zantedeschia_aethiopica",864
"Ziziphus_spina-christi",403
---,---
"TOTAL (685 directories)",368813
